,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
31,25.004,16.392,29.788,37.234,42.409,50.324,54.647,60.987,62.996,45.379,40.774,26.598,22.487,17.86,12.983,15.034,17.642,4.267,7.727,14.952,6.974,5.499,28.816,10.891,14.491,10.372,14.334,18.734,26.058,14.403,0.0,8.807,11.698,16.009,14.864,44.962,18.209,27.577,22.319,40.979,30.759,32.503,34.336,26.656,21.294,26.555,50.492,44.485,55.735,57.494,64.374,74.834,72.134,68.473,75.025,71.468,63.478,73.918,65.283,65.174,63.056,72.65,71.402,72.599,77.392,83.969,89.753,92.032,93.683,89.377,61.157,67.152,68.854,68.173,73.11
32,24.722,16.362,35.361,42.807,47.982,55.897,60.22,66.56,68.569,50.952,46.347,32.171,28.06,23.465,18.588,20.639,23.247,7.5,13.493,5.751,7.627,3.874,23.777,6.546,17.346,13.227,17.101,18.704,25.377,14.455,9.692,0.0,15.226,18.864,15.394,39.923,21.399,33.15,27.892,46.552,36.332,38.076,39.909,32.229,23.241,28.46,56.065,50.058,61.308,63.067,69.947,80.407,77.707,74.046,80.598,77.041,69.051,79.491,70.856,70.747,68.629,78.223,76.975,78.172,82.965,89.542,95.326,97.605,99.256,94.95,66.73,72.725,74.427,73.746,78.683
33,19.314,10.702,17.045,40.549,45.724,53.639,57.962,64.302,66.311,48.694,44.089,29.913,25.802,21.175,16.298,18.349,20.957,10.981,11.203,14.858,15.067,8.814,32.131,6.452,8.495,4.376,8.338,13.044,20.368,9.754,3.315,10.998,0.0,10.013,10.215,23.1,12.566,14.834,16.366,44.294,34.074,35.818,37.651,17.762,15.651,20.559,27.002,47.8,59.05,60.809,67.689,78.149,75.449,71.788,78.34,74.783,66.793,77.233,68.598,68.489,66.371,75.965,74.717,75.914,80.707,87.284,93.068,95.347,96.998,92.692,64.472,70.467,72.169,71.488,76.425
34,20.262,9.742,7.842,23.949,28.465,36.38,40.703,47.043,49.052,38.314,26.83,19.533,22.481,22.995,24.487,26.538,24.412,15.771,19.392,23.033,18.478,17.003,40.32,14.627,5.953,8.074,6.145,10.977,21.316,15.185,11.504,19.187,11.759,0.0,14.469,22.463,6.086,4.863,12.608,27.035,15.104,24.83,13.061,7.913,7.822,12.73,13.747,21.559,41.828,43.587,50.467,60.927,58.227,54.566,61.118,57.561,49.571,60.011,51.376,51.267,49.149,58.743,57.495,58.692,63.485,70.062,75.846,78.125,82.569,75.47,47.25,53.245,54.947,54.266,59.203
35,11.55,8.324,22.691,48.784,53.959,61.874,66.197,72.537,74.546,56.929,52.324,38.148,34.037,29.41,24.533,26.584,29.192,15.817,19.438,15.412,19.015,16.1,35.967,7.583,14.141,9.362,9.063,10.666,12.217,0.844,11.55,15.803,8.235,15.659,0.0,13.794,13.361,20.48,24.601,52.529,42.309,44.053,27.256,23.408,15.203,20.422,27.827,56.035,67.285,69.044,75.924,86.384,83.684,80.023,86.575,83.018,75.028,85.468,76.833,76.724,74.606,84.2,82.952,84.149,88.942,95.519,101.303,103.582,105.233,100.927,72.707,78.702,80.404,79.723,84.66
36,7.595,15.353,29.11,57.872,63.047,70.962,75.285,81.625,83.634,66.017,61.412,47.236,43.125,38.498,33.621,35.672,38.28,24.905,28.526,21.621,26.044,23.129,19.245,17.738,23.229,18.45,16.092,17.695,4.734,9.594,20.638,22.832,17.323,22.051,9.502,0.0,20.39,26.899,33.689,61.617,51.397,53.141,36.856,32.496,22.232,18.059,26.538,65.123,76.373,78.132,85.012,95.472,92.772,89.111,95.663,92.106,84.116,94.556,85.921,85.812,83.694,93.288,92.04,93.237,55.828,104.607,110.391,112.67,114.321,110.015,81.795,87.79,89.492,88.811,93.748
37,15.306,4.786,12.461,28.568,33.084,40.999,45.322,51.662,53.938,43.174,31.449,24.774,27.403,31.578,26.701,28.752,31.36,18.338,21.959,24.158,20.692,19.217,42.534,16.09,8.304,9.448,7.412,4.406,16.36,11.941,14.071,21.184,13.245,6.147,12.239,17.507,0.0,8.491,17.849,31.654,19.723,27.662,17.68,12.532,4.826,9.734,15.245,23.11,35.579,37.338,44.627,60.909,58.209,54.548,61.1,51.721,43.731,54.171,45.536,45.427,43.309,47.353,57.007,58.204,62.997,69.574,75.358,78.107,79.758,75.452,41.41,47.405,49.107,48.426,59.185
38,19.688,12.074,4.046,20.153,24.669,32.584,36.907,43.247,45.256,34.759,23.034,18.802,24.513,25.027,29.162,31.213,26.444,24.641,24.067,38.577,27.931,23.304,44.964,19.589,7.955,12.54,10.611,12.559,22.772,20.147,17.805,33.829,16.69,5.814,19.426,24.694,8.014,0.0,14.825,23.239,11.308,19.247,9.265,4.117,7.955,11.153,12.53,17.763,38.032,39.791,46.671,57.131,54.431,50.77,57.322,53.765,45.775,56.215,47.58,47.471,45.353,54.947,53.699,54.896,59.689,66.266,62.822,74.329,75.98,71.674,43.454,49.449,51.151,50.47,55.407
39,30.594,20.074,16.73,19.686,15.24,29.805,34.128,40.468,42.477,26.246,14.832,7.465,12.956,18.829,23.758,25.809,20.246,19.237,18.663,33.173,22.527,29.135,39.56,31.795,10.357,16.525,16.288,21.309,31.648,33.9,15.375,28.425,30.519,12.641,24.789,55.706,17.81,11.956,0.0,15.037,7.627,12.762,11.204,7.658,19.531,24.303,26.171,26.974,38.224,39.983,46.863,57.323,54.623,50.962,57.514,53.957,45.967,56.407,47.772,47.663,45.545,55.139,53.891,55.088,59.881,66.458,63.014,74.521,76.172,74.659,43.646,49.641,51.343,50.662,55.599
40,36.643,52.194,18.304,10.744,3.854,15.459,19.782,26.122,28.131,16.137,2.219,12.762,19.141,25.014,41.104,43.155,26.431,36.583,36.009,50.519,39.873,46.481,56.906,49.141,24.852,46.174,30.783,54.536,39.727,51.246,42.68,45.771,47.865,25.977,51.707,73.052,30.527,22.268,15.034,0.0,8.386,4.398,11.963,16.143,29.423,26.875,24.002,18.032,29.282,31.041,37.921,48.381,45.681,42.02,48.572,45.015,37.025,47.465,38.83,38.721,36.603,46.197,44.949,46.817,50.939,57.516,63.3,65.579,67.23,62.924,34.704,40.699,42.401,41.72,46.657
41,29.383,23.15,9.257,12.552,9.816,22.671,26.994,33.334,35.343,24.846,8.181,9.064,15.178,21.051,32.954,35.005,22.468,28.433,27.859,42.369,31.723,38.331,48.756,40.991,17.454,21.541,20.4,24.525,32.467,43.096,34.53,37.621,39.715,15.254,43.557,64.902,19.63,11.545,7.636,8.386,0.0,8.093,4.455,7.911,19.787,19.999,18.698,19.84,31.09,32.849,39.729,50.189,47.489,43.828,50.38,46.823,38.833,49.273,40.638,40.529,38.411,45.977,46.757,47.954,53.004,59.324,65.108,67.387,69.038,64.732,36.512,42.507,44.209,43.528,48.465
42,39.434,32.302,17.201,14.166,4.596,17.959,20.844,24.593,26.602,14.937,3.039,10.495,16.874,22.747,34.65,36.701,24.164,30.129,29.555,44.065,33.419,40.027,50.452,42.687,22.585,39.72,28.516,48.082,68.838,44.792,36.226,39.317,41.411,24.869,45.253,66.598,30.038,19.489,12.767,4.398,8.112,0.0,11.675,15.855,29.173,29.666,26.793,20.823,32.073,33.832,40.712,51.172,39.885,44.811,51.363,47.806,39.816,50.256,41.621,41.512,39.394,46.96,47.74,52.351,53.73,60.307,66.091,68.37,70.021,65.715,37.495,43.49,45.192,44.511,49.448
43,26.405,21.107,5.905,13.912,13.393,26.343,30.666,37.006,39.015,28.518,11.758,12.641,18.755,24.628,36.531,38.582,26.045,32.01,31.436,45.946,35.3,41.908,52.333,44.568,14.653,19.498,18.357,22.482,29.489,26.749,22.323,41.198,22.695,13.037,27.21,33.284,17.587,9.502,11.213,11.963,4.455,11.67,0.0,5.868,17.744,16.637,16.225,13.803,31.791,33.55,40.43,50.89,48.19,44.529,51.081,47.524,39.534,49.974,41.339,41.23,39.112,46.678,47.458,48.655,56.862,60.025,65.809,68.088,69.739,65.433,37.213,43.208,44.91,44.229,49.166
44,25.256,15.858,6.29,19.102,17.573,30.428,34.751,41.091,43.1,32.204,15.938,13.423,18.914,24.787,28.136,30.187,26.204,23.615,23.041,37.551,26.905,33.513,43.938,22.343,9.315,15.65,13.108,16.744,28.34,22.901,18.475,32.803,19.475,7.788,23.362,32.135,12.338,4.079,8.995,16.143,7.911,15.85,5.868,0.0,12.034,15.488,14.774,20.007,36.981,38.74,45.62,56.08,53.38,49.719,56.271,52.714,44.724,55.164,46.529,46.42,44.302,53.896,52.648,53.845,58.638,65.215,61.771,62.033,74.929,70.623,42.403,48.398,50.1,49.419,54.356
