,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
40,7.476,7.415,7.41,7.665,6.023,5.544,5.552,3.846,3.962,4.744,5.123,3.918,3.173,2.791,4.409,4.179,4.136,3.603,3.198,3.872,2.635,3.349,1.973,3.197,1.831,3.165,1.488,0.872,0.95,2.352,1.17,2.204,2.191,1.672,1.546,1.199,0.686,1.019,1.652,0.0,0.701,0.722,0.9,1.828,2.218,2.506,3.294,3.848,3.793,3.119
41,6.907,6.846,6.841,7.096,5.738,5.636,5.644,3.39,3.506,4.288,4.838,3.462,2.888,2.269,3.953,3.723,3.68,3.318,2.913,3.587,2.35,2.893,1.451,2.741,1.375,2.709,1.032,0.237,0.665,1.896,0.714,1.635,1.53,1.774,0.944,1.349,0.401,0.734,1.892,0.902,0.0,1.78,1.781,1.97,1.649,1.937,4.165,3.683,3.106,4.364
42,8.198,8.137,8.132,8.387,6.745,6.266,6.274,4.568,4.684,5.466,5.845,4.64,3.4,3.513,5.131,4.901,4.858,4.325,3.92,4.594,3.357,4.071,2.695,3.329,2.553,3.272,2.091,1.594,1.672,3.074,1.892,2.926,2.492,1.4,1.274,1.921,1.408,1.741,1.471,0.722,1.423,0.0,0.247,1.556,2.373,3.228,2.572,3.126,3.071,2.397
43,8.199,8.138,8.133,8.388,6.746,6.267,6.275,4.569,4.685,5.467,5.846,4.641,3.401,3.514,5.132,4.902,4.859,4.326,3.921,4.595,3.358,4.072,2.696,3.33,2.554,3.273,2.092,1.595,1.673,3.075,1.893,2.927,2.493,1.401,1.275,1.922,1.409,1.742,1.202,0.723,1.424,0.189,0.0,1.557,2.374,3.229,2.761,3.315,3.26,2.586
44,7.571,7.51,7.505,7.76,7.052,6.3,6.308,4.704,4.82,5.5,6.152,4.776,3.536,3.649,5.267,5.037,4.994,4.632,4.227,4.901,3.664,4.207,2.831,3.465,2.778,3.408,2.398,1.244,1.764,3.21,2.199,2.549,1.188,0.335,0.909,1.944,1.715,2.75,2.577,1.828,1.415,1.556,1.421,0.0,1.17,1.85,3.003,2.954,2.377,2.828
45,6.502,6.441,6.436,6.691,5.741,5.231,5.239,3.786,3.902,4.431,5.635,3.858,3.563,3.951,4.349,4.119,4.076,4.927,4.522,5.196,3.959,3.73,2.858,3.578,3.073,3.546,2.693,1.96,1.67,3.354,1.767,1.48,0.119,0.895,1.625,1.126,1.918,2.251,3.501,2.214,1.649,1.942,1.943,1.069,0.0,1.15,3.122,2.64,2.063,3.321
46,6.272,6.211,6.206,6.461,5.511,5.001,5.009,3.836,3.952,4.201,5.685,4.409,3.759,4.14,4.399,4.169,4.126,5.123,4.718,5.392,4.155,3.84,3.054,3.688,3.269,3.742,2.889,2.108,1.958,3.464,2.055,1.53,1.031,1.832,2.406,1.499,2.206,2.539,3.697,3.208,1.937,2.787,2.976,1.85,1.15,0.0,2.308,1.826,1.249,2.507
47,9.162,9.101,9.096,9.351,8.401,7.891,7.899,7.039,7.155,7.091,8.837,7.06,5.972,6.085,7.551,7.321,7.278,6.897,6.492,7.204,5.929,6.491,5.267,6.339,5.043,6.307,4.663,4.166,4.244,5.646,4.464,3.758,2.983,3.24,3.846,3.514,3.98,4.313,5.464,3.294,3.995,2.572,2.761,3.006,3.102,2.308,0.0,1.622,1.724,0.743
48,8.427,8.366,8.361,8.616,7.666,7.156,7.164,6.304,6.42,6.356,8.102,6.325,5.505,6.418,6.816,6.586,6.543,6.845,6.464,7.758,5.901,5.756,4.8,5.604,5.015,5.572,4.635,3.854,3.704,5.38,3.801,3.276,2.501,2.936,3.51,3.032,3.952,4.285,4.597,3.848,3.683,3.126,3.315,2.954,2.62,1.826,1.359,0.0,0.081,1.313
49,8.103,8.042,8.037,8.292,7.342,6.832,6.84,5.98,6.096,6.032,7.778,6.001,4.928,6.094,6.492,6.262,6.219,6.292,5.887,6.561,5.324,5.432,4.223,5.28,4.438,5.248,4.058,3.277,3.127,5.056,3.224,2.699,1.924,2.359,2.933,2.455,3.375,3.708,5.963,3.793,3.106,3.071,3.26,2.377,2.043,1.249,1.059,0.577,0.0,1.258
50,9.314,9.253,9.248,9.503,8.553,8.043,8.051,7.191,7.307,7.243,8.242,7.212,5.797,5.91,7.703,7.473,7.43,6.722,6.317,7.029,5.754,6.643,5.092,6.491,4.868,5.669,4.488,3.991,4.069,5.471,4.289,3.91,3.135,3.065,3.671,3.666,3.805,4.138,5.289,3.119,3.82,2.397,2.586,2.831,3.254,2.46,0.893,1.266,1.211,0.0
